iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
OWID_AFR,,Africa,2021/8/1,6743250,34210,39298.857,170987,920,949.429,4909.586,24.907,28.612,124.491,0.67,0.691,,,,,,,,,,,,,,,,,,,66019326,43732160,22839939,,579744,688801,4.81,3.18,1.66,,501,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/2,6777717,34467,39345.143,171859,872,945.714,4934.681,25.095,28.646,125.126,0.635,0.689,,,,,,,,,,,,,,,,,,,66855115,44403112,23166770,,835789,684241,4.87,3.23,1.69,,498,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/3,6810421,32704,39533.857,172864,1005,966.286,4958.492,23.811,28.784,125.858,0.732,0.704,,,,,,,,,,,,,,,,,,,69038133,45913685,23946102,,2183018,863765,5.03,3.34,1.74,,629,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/4,6855602,45181,39033.571,174000,1136,984.143,4991.387,32.895,28.419,126.685,0.827,0.717,,,,,,,,,,,,,,,,,,,69469528,46205178,23966103,,431395,818156,5.06,3.36,1.74,,596,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/5,6903411,47809,39044,174904,904,929,5026.195,34.808,28.427,127.343,0.658,0.676,,,,,,,,,,,,,,,,,,,70464984,46791778,24416239,,995456,805013,5.13,3.41,1.78,,586,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/6,6945406,41995,38897.143,175925,1021,960.571,5056.771,30.575,28.32,128.086,0.743,0.699,,,,,,,,,,,,,,,,,,,70859501,47017477,24585057,,394517,798153,5.16,3.42,1.79,,581,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/7,6981725,36319,38955,176706,781,948.429,5083.214,26.443,28.362,128.655,0.569,0.691,,,,,,,,,,,,,,,,,,,71252152,47278668,25108888,,392651,830367,5.19,3.44,1.83,,605,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/8,7015368,33643,38874,177421,715,919.143,5107.708,24.495,28.303,129.176,0.521,0.669,,,,,,,,,,,,,,,,,,,71962954,47860258,25492073,,710802,849090,5.24,3.48,1.86,,618,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/9,7048963,33595,38749.429,178233,812,910.571,5132.168,24.46,28.212,129.767,0.591,0.663,,,,,,,,,,,,,,,,,,,73805485,49228522,25973470,,1842531,992910,5.37,3.58,1.89,,723,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/10,7083466,34503,39006.429,178861,628,856.714,5157.289,25.121,28.4,130.224,0.457,0.624,,,,,,,,,,,,,,,,,,,74413305,49594212,26311084,,607820,767882,5.42,3.61,1.92,,559,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/11,7118071,34605,37495.571,179979,1118,854.143,5182.484,25.195,27.3,131.038,0.814,0.622,,,,,,,,,,,,,,,,,,,74979084,49978538,26488457,,565779,787079,5.46,3.64,1.93,,573,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/12,7164411,46340,37285.714,181123,1144,888.429,5216.222,33.739,27.147,131.871,0.833,0.647,,,,,,,,,,,,,,,,,,,76540905,51015602,27116019,,1561821,867989,5.57,3.71,1.97,,632,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/13,7204890,40479,37069.143,182225,1102,900,5245.694,29.472,26.989,132.673,0.802,0.655,,,,,,,,,,,,,,,,,,,77498765,51833630,27301594,,957860,948466,5.64,3.77,1.99,,691,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/14,7238771,33881,36720.857,182935,710,889.857,5270.362,24.668,26.736,133.19,0.517,0.648,,,,,,,,,,,,,,,,,,,77756052,52026348,27409770,,257287,929129,5.66,3.79,2,,676,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/15,7267679,28908,36044.429,183653,718,890.286,5291.409,21.047,26.243,133.713,0.523,0.648,,,,,,,,,,,,,,,,,,,78084365,52249643,27583969,,328313,874487,5.69,3.8,2.01,,637,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/16,7297069,29390,35443.714,184430,777,885.286,5312.807,21.398,25.806,134.279,0.566,0.645,,,,,,,,,,,,,,,,,,,80700277,53977524,28645573,,2615912,984970,5.88,3.93,2.09,,717,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/17,7329346,32277,35125.714,185490,1060,947,5336.307,23.5,25.574,135.05,0.772,0.689,,,,,,,,,,,,,,,,,,,81504251,54335154,29096584,,803974,1012992,5.93,3.96,2.12,,738,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/18,7373300,43954,36461.286,186511,1021,933.143,5368.309,32.002,26.547,135.794,0.743,0.679,,,,,,,,,,,,,,,,,,,82889824,55084149,29900006,,1385573,1130106,6.03,4.01,2.18,,823,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/19,7412637,39337,35460.857,187267,756,877.714,5396.949,28.64,25.818,136.344,0.55,0.639,,,,,,,,,,,,,,,,,,,84601491,55935117,30819741,,1711667,1151512,6.16,4.07,2.24,,838,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/20,7449784,37147,34984.857,187968,701,820.429,5423.995,27.046,25.472,136.855,0.51,0.597,,,,,,,,,,,,,,,,,,,89984848,60159132,32228980,,5383357,1783726,6.55,4.38,2.35,,1299,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/21,7480643,30859,34553.143,188598,630,809,5446.463,22.468,25.157,137.313,0.459,0.589,,,,,,,,,,,,,,,,,,,90384217,60311596,32342819,,399369,1804024,6.58,4.39,2.35,,1313,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/22,7508065,27422,34340.857,189245,647,798.857,5466.428,19.965,25.003,137.784,0.471,0.582,,,,,,,,,,,,,,,,,,,91045585,60550086,32571238,,661368,1851603,6.63,4.41,2.37,,1348,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/23,7557086,49021,37145.286,189958,713,789.714,5502.119,35.691,27.045,138.304,0.519,0.575,,,,,,,,,,,,,,,,,,,92175652,61265390,33212663,,1130067,1639339,6.71,4.46,2.42,,1194,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/24,7586888,29802,36791.714,190778,820,755.429,5523.817,21.698,26.787,138.901,0.597,0.55,,,,,,,,,,,,,,,,,,,93273268,61830362,33784454,,1097616,1681288,6.79,4.5,2.46,,1224,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/25,7622971,36083,35667.286,191776,998,752.143,5550.088,26.271,25.968,139.627,0.727,0.548,,,,,,,,,,,,,,,,,,,96286118,63972883,34871147,,3012850,1913756,7.01,4.66,2.54,,1393,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/26,7661547,38576,35558.571,192628,852,765.857,5578.174,28.086,25.889,140.247,0.62,0.558,,,,,,,,,,,,,,,,,,,96420061,64179028,34897319,,133943,1688367,7.02,4.67,2.54,,1229,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/27,7695561,34014,35111,193392,764,774.857,5602.939,24.765,25.563,140.804,0.556,0.564,,,,,,,,,,,,,,,,,,,99569696,65957951,36402226,,3149635,1369264,7.25,4.8,2.65,,997,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/28,7723640,28079,34713.857,194153,761,793.571,5623.383,20.444,25.274,141.358,0.554,0.578,,,,,,,,,,,,,,,,,,,100374076,66408481,36601046,,804380,1427123,7.31,4.84,2.66,,1039,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/29,7744705,21065,33805.714,194828,675,797.571,5638.72,15.337,24.613,141.849,0.491,0.581,,,,,,,,,,,,,,,,,,,101792481,67290342,37439991,,1418405,1535271,7.41,4.9,2.73,,1118,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/30,7767686,22981,30085.714,195499,671,791.571,5655.451,16.732,21.905,142.338,0.489,0.576,,,,,,,,,,,,,,,,,,,102370546,67686729,37716726,,578065,1456413,7.45,4.93,2.75,,1060,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/8/31,7790394,22708,29072.286,196278,779,785.714,5671.985,16.533,21.167,142.905,0.567,0.572,,,,,,,,,,,,,,,,,,,103766724,68525633,38338518,,1396178,1499065,7.55,4.99,2.79,,1091,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/9/1,7821187,30793,28316.571,196917,639,734.429,5694.404,22.42,20.617,143.37,0.465,0.535,,,,,,,,,,,,,,,,,,,105981852,70001177,39282928,,2215128,1385105,7.72,5.1,2.86,,1008,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/9/2,7849133,27946,26798,197763,846,733.571,5714.751,20.347,19.511,143.986,0.616,0.534,,,,,,,,,,,,,,,,,,,106394585,70216371,39475443,,412733,1424932,7.75,5.11,2.87,,1037,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/9/3,7875468,26335,25701,198378,615,712.286,5733.925,19.174,18.712,144.434,0.448,0.519,,,,,,,,,,,,,,,,,,,107010299,70559165,39735057,,615714,1062943,7.79,5.14,2.89,,774,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/9/4,7896475,21007,24690.714,198891,513,676.857,5749.219,15.295,17.977,144.807,0.374,0.493,,,,,,,,,,,,,,,,,,,111480515,72321607,42407057,,4470216,1586634,8.12,5.27,3.09,,1155,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/9/5,7914377,17902,24238.857,199265,374,633.857,5762.253,13.034,17.648,145.08,0.272,0.461,,,,,,,,,,,,,,,,,,,113713615,73952436,43175466,,2233100,1703019,8.28,5.38,3.14,,1240,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/9/6,7931485,17108,23399.857,199804,539,615,5774.709,12.456,17.037,145.472,0.392,0.448,,,,,,,,,,,,,,,,,,,115398250,74755734,44013877,,1684635,1861101,8.4,5.44,3.2,,1355,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/9/7,7951066,19581,22953.143,200420,616,591.714,5788.966,14.256,16.712,145.921,0.448,0.431,,,,,,,,,,,,,,,,,,,115975156,75098191,44330459,,576906,1744062,8.44,5.47,3.23,,1270,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/9/8,7976232,25166,22149.286,201065,645,592.571,5807.288,18.323,16.126,146.39,0.47,0.431,,,,,,,,,,,,,,,,,,,116722284,75343905,44717103,,747128,1534347,8.5,5.49,3.26,,1117,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/9/9,7996440,20208,21043.857,201540,475,539.571,5822.001,14.713,15.321,146.736,0.346,0.393,,,,,,,,,,,,,,,,,,,118168992,76155404,45457255,,1446708,1682058,8.6,5.54,3.31,,1225,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/9/10,8015983,19543,20073.571,202104,564,532.286,5836.23,14.229,14.615,147.147,0.411,0.388,,,,,,,,,,,,,,,,,,,119298382,76863322,46252450,,1129390,1755440,8.69,5.6,3.37,,1278,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/9/11,8031624,15641,19307,202495,391,514.857,5847.618,11.388,14.057,147.431,0.285,0.375,,,,,,,,,,,,,,,,,,,121091821,77810616,48060882,,1793439,1373044,8.82,5.67,3.5,,1000,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/9/12,8044725,13101,18621.143,202878,383,516.143,5857.156,9.538,13.558,147.71,0.279,0.376,,,,,,,,,,,,,,,,,,,123896460,79227165,49473858,,2804639,1454692,9.02,5.77,3.6,,1059,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/9/13,8057274,12549,17969.857,203316,438,501.714,5866.293,9.137,13.083,148.029,0.319,0.365,,,,,,,,,,,,,,,,,,,124489165,79550321,50207778,,592705,1298702,9.06,5.79,3.66,,946,,1373486472,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021/9/14,8082453,25179,18769.571,203924,608,500.571,5884.625,18.332,13.666,148.472,0.443,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373486472,,,,,,,,,,,,,,,
OWID_ASI,,Asia,2021/8/1,62268051,255807,254982.286,903299,3782,4245.429,13306.104,54.664,54.487,193.027,0.808,0.907,,,,,,,,,,,,,,,,,,,2681383137,1338860184,286403707,5003297,33204482,30764919,57.3,28.61,6.12,0.11,6574,,4679660580,,,,,,,,,,,,,,,
OWID_ASI,,Asia,2021/8/2,62496991,228940,257148,907412,4113,4294.143,13355.026,48.922,54.95,193.906,0.879,0.918,,,,,,,,,,,,,,,,,,,2712109837,1345798199,290451176,5170516,30726700,30606002,57.96,28.76,6.21,0.11,6540,,4679660580,,,,,,,,,,,,,,,
OWID_ASI,,Asia,2021/8/3,62779667,282676,259066.714,912172,4760,4334.714,13415.432,60.405,55.36,194.923,1.017,0.926,,,,,,,,,,,,,,,,,,,2755299263,1361980830,297185964,5377421,43189426,32546580,58.88,29.1,6.35,0.11,6955,,4679660580,,,,,,,,,,,,,,,
OWID_ASI,,Asia,2021/8/4,63063920,284253,260555.143,916771,4599,4360.286,13476.174,60.742,55.678,195.905,0.983,0.932,,,,,,,,,,,,,,,,,,,2789261036,1373334779,301685454,5458865,33961773,33020743,59.6,29.35,6.45,0.12,7056,,4679660580,,,,,,,,,,,,,,,
OWID_ASI,,Asia,2021/8/5,63348850,284930,262357.571,922270,5499,4479.714,13537.061,60.887,56.063,197.081,1.175,0.957,,,,,,,,,,,,,,,,,,,2819787438,1383113135,306253821,5771573,30526402,32438799,60.26,29.56,6.54,0.12,6932,,4679660580,,,,,,,,,,,,,,,
OWID_ASI,,Asia,2021/8/6,63627288,278438,265375.857,927006,4736,4572,13596.56,59.5,56.708,198.093,1.012,0.977,,,,,,,,,,,,,,,,,,,2848693911,1391403917,309914634,5943604,28906473,31985344,60.87,29.73,6.62,0.13,6835,,4679660580,,,,,,,,,,,,,,,
OWID_ASI,,Asia,2021/8/7,63886001,258713,267679.571,931345,4339,4546.857,13651.845,55.285,57.201,199.02,0.927,0.972,,,,,,,,,,,,,,,,,,,2872319397,1398808714,313323120,6090162,23625486,32020106,61.38,29.89,6.7,0.13,6842,,4679660580,,,,,,,,,,,,,,,
OWID_ASI,,Asia,2021/8/8,64120768,234767,264673.857,935704,4359,4629.286,13702.013,50.168,56.558,199.951,0.931,0.989,,,,,,,,,,,,,,,,,,,2896591693,1407261138,316589241,6262741,24272296,30744079,61.9,30.07,6.77,0.13,6570,,4679660580,,,,,,,,,,,,,,,
OWID_ASI,,Asia,2021/8/9,64384077,263309,269583.714,940062,4358,4664.286,13758.279,56.267,57.608,200.883,0.931,0.997,,,,,,,,,,,,,,,,,,,2930988120,1422237315,328605746,6516919,34396427,31268326,62.63,30.39,7.02,0.14,6682,,4679660580,,,,,,,,,,,,,,,
